district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010912019,209400000972019,99997,2019,97,2019,Spl. POCSO Act.,2019-10-24,2019-06-17,2019-06-17,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010013462015,200300010012015,0,0   ,1001,2015,Bail 438,2015-11-03,2015-11-02,2015-11-02,Disposed,61
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010014102015,206800010522015,0,0   ,1052,2015,Bail 439,2015-11-20,2015-11-13,2015-11-13,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010862015,200300007922015,0,0   ,792,2015,Bail 438,2015-10-12,2015-09-11,2015-09-11,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010017992019,206800009432019,943,2019,943,2019,Bail 439,2019-10-23,2019-09-24,2019-09-24,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010016372016,206800011022016,1102,2016,1102,2016,Bail 439,2016-12-19,2016-12-17,2016-12-17,Disposed,61
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010015502018,200300011292018,1129,2018,1129,2018,Bail 438,2018-10-25,2018-10-05,2018-10-05,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010020262019,200300010822019,1082,2019,1082,2019,Bail 438,2019-11-29,2019-11-08,2019-11-08,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010002622015,206800001712015,0,0   ,171,2015,Bail 439,2015-03-31,2015-03-20,2015-03-20,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010015822015,209400000152016,0,0   ,15,2016,Spl. POCSO Act.,2016-04-29,2015-07-07,2015-07-07,"Sent to Addl. Dist. and Sessions Judge Court, Bajali for Disposal",68
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010922015,206800007982015,0,0   ,798,2015,Bail 439,2015-09-16,2015-09-11,2015-09-11,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010016692019,200300008732019,873,2019,873,2019,Bail 438,2019-09-19,2019-09-07,2019-09-07,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010018642019,206800009812019,981,2019,981,2019,Bail 439,2019-11-04,2019-10-09,2019-10-09,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010072015,200300007352015,0,0   ,735,2015,Bail 438,2015-09-14,2015-08-27,2015-08-27,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010008652017,209400000092017,999,2017,9,2017,Spl. POCSO Act.,2018-01-06,2017-04-05,2017-04-05,"Transfer to District and Sessions Judge, Baksa for Disposal",78
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010012002019,200300006422019,642,2019,642,2019,Bail 438,2019-08-09,2019-06-29,2019-06-29,Rejected,17
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010010172017,209900000302017,813,2017,30,2017,POCSO Act,2018-06-07,2017-10-25,2017-10-25,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040015302015,200600007012015,1109,2015,701,2015,Complaint Case ( C R),2016-02-20,2015-07-08,2015-07-08,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010010392017,209900000402017,832,2017,40,2017,POCSO Act,2018-03-07,2017-10-30,2017-10-30,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008372019,209900000802019,685,2019,80,2019,POCSO Act,2020-02-29,2019-07-17,2019-07-17,TRANSFER,1
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008222014,206900000282014,719,2014,28,2014,Sessions ( Spl.),2015-03-24,2014-12-08,2014-12-08,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008912018,209900000402018,672,2018,40,2018,POCSO Act,2020-02-01,2018-08-29,2018-08-29,TRANSFER,1
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010010772017,209900000502017,864,2017,50,2017,POCSO Act,2018-07-21,2017-11-07,2017-11-07,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010010342017,209900000362017,827,2017,36,2017,POCSO Act,2018-10-26,2017-10-27,2017-10-27,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008022019,209900000762019,657,2019,76,2019,POCSO Act,2020-03-21,2019-07-10,2019-07-10,TRANSFER,1
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040001662017,200600001422017,160,2017,142,2017,Complaint Case ( C R),2020-03-11,2017-02-17,2017-02-17,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040050202018,200600006862018,104988,2018,686,2018,Complaint Case ( C R),2019-08-27,2018-10-11,2018-10-11,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010002562017,209900000092017,200,2017,9,2017,POCSO Act,2017-07-12,2017-03-23,2017-03-23,Disposed on Uncontest,36
