updated_disp_name,disp_nature,state_name,district_name,total_cases
Convicted,11,Assam,Tinsukia,6
Disposed,47,Assam,Sivasagar,1
Transferred,1,Assam,Karimganj,1
Convicted,24,Haryana,Kaithal,34
Discharged,14,Assam,Dibrugarh,6
NA,0,Delhi,South,630
Disposed,30,Assam,Darrang,7
Acquitted,10,Assam,Bongaigaon,32
Acquitted,10,Assam,Darrang,40
Allowed,31,Delhi,West,3
Untraced,46,Delhi,South West,3
Case is filed,21,Assam,Cachar,1
Quashed,17,Delhi,Central,5
Allowed,31,Delhi,South West,33
Discharged,3,Delhi,North West,52
Convicted,24,Haryana,Palwal,23
Disposed of with directions,36,Haryana,Faridabad,2
Convicted,67,Assam,Karbi Anglong,8
Convicted,2,Delhi,South,19
Acquitted,10,Assam,Golaghat,110
PO Consigned,1007,Haryana,Hisar,1
Convicted - Undergone,1001,Haryana,Sonepat,2
Discharged,3,Delhi,South West,11
Disposed,8,Delhi,South East,3
Case is filed,21,Assam,Morigaon,3
Acquitted,76,Assam,Barpeta,49
Remand back,22,Assam,Sivasagar,1
Acquitted - Judgement delivered,41,Assam,Kokrajhar,19
Proceeding dropped,46,Assam,Udalguri,1
Convicted - Undergone,34,Delhi,North,3
Further investigation ordered,52,Delhi,North,1
Case is filed,21,Assam,Bongaigaon,4
Convicted,109,Haryana,Jhajjar,2
Untraced,46,Delhi,North,11
Disposed,30,Assam,Golaghat,2
Convicted,24,Haryana,Kurukshetra,37
Convicted - Probation,43,Delhi,Central,9
Discharged,3,Delhi,North,2
Convicted,24,Haryana,Ambala,45
Clubbed in FIR,70,Delhi,West,13
Stayed,49,Assam,Sivasagar,4
Abated,29,Haryana,Sirsa,2
Case is filed,21,Assam,Dhemaji,10
Disposed,30,Assam,Sivasagar,12
Discharged,14,Assam,Kamrup Metro,2
Convicted,11,Assam,Bongaigaon,5
PO Consigned,46,Haryana,Faridabad,2
Disposed of with directions,36,Haryana,Gurugram,1
Transferred,38,Assam,Nalbari,1
Acquitted,25,Haryana,Sonepat,131
Convicted - Plead Guilty,24,Delhi,West,4
Acquitted,1,Delhi,South West,190
Transferred,1,Assam,Tinsukia,7
Convicted - Undergone,34,Delhi,West,1
PO Consigned,12,Delhi,South West,7
Disposed,30,Assam,Karimganj,1
Transferred,64,Delhi,North West,13
Convicted,2,Delhi,West,35
Disposed otherwise,2,Assam,Lakhimpur,31
Convicted - Fined,7,Delhi,New Delhi,1
Disposed off on contest,50,Assam,Baksa,10
NA,0,Delhi,New Delhi,360
Allowed,15,Haryana,Faridabad,1
Case is filed,21,Assam,Golaghat,10
Abated,29,Haryana,Hisar,2
Acquitted,10,Assam,Sivasagar,125
Acquitted,1,Delhi,West,419
NA,0,Delhi,West,1018
Acquitted,10,Assam,Nagaon,33
NA,0,Assam,Morigaon,229
Abated,13,Assam,Sivasagar,1
Case is filed,21,Assam,Dhubri,1
Abated,5,Delhi,North,10
Acquitted,10,Assam,Tinsukia,33
PO Consigned,12,Delhi,North East,3
Quashed,17,Delhi,South East,3
Convicted,24,Haryana,Panchkula,25
Convicted,2,Delhi,East,7
NA,0,Assam,Golaghat,150
Convicted,11,Assam,Morigaon,8
Transferred,1,Haryana,Ambala,1
Disposed,30,Assam,Kamrup Metro,4
Convicted,11,Assam,Udalguri,5
Disposed uncontest,36,Assam,Morigaon,10
Acquitted,25,Haryana,Bhiwani,3
Allowed,15,Haryana,Jhajjar,1
Disposed of with directions,36,Haryana,Hisar,1
NA,0,Assam,Dima Hasao,18
Untraced,46,Delhi,Central,10
Convicted,11,Assam,Kamrup,27
Disposed,30,Assam,Udalguri,1
Allowed,15,Haryana,Gurugram,2
Abated,29,Haryana,Rewari,3
Dismissed,3,Assam,Kamrup Metro,1
Acquitted,1,Delhi,East,26
NA,0,Haryana,Panchkula,51
PO Consigned,12,Delhi,Central,8
Acquitted,1,Delhi,South East,48
