cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLSH010045052018,NA,07/07/2018,2018,633,21.1 ,1.73 
DLSH010059462019,NA,07/09/2019,2018,206,6.9 ,0.56 
DLSH010053472019,NA,16/08/2019,2018,228,7.6 ,0.62 
DLSH010070692018,13/09/2019,22/10/2018,2018,326,10.9 ,0.89 
DLSH010022992019,NA,06/04/2019,2018,360,12.0 ,0.99 
DLSH010004642017,NA,20/01/2017,2018,1166,38.9 ,3.19 
DLSH010025122019,NA,12/04/2019,2018,354,11.8 ,0.97 
DLSH010059462018,NA,06/09/2018,2018,572,19.1 ,1.57 
DLSH010077222018,NA,20/11/2018,2018,497,16.6 ,1.36 
DLSH010001132018,NA,05/01/2018,2018,816,27.2 ,2.24 
DLSH010007312017,NA,01/02/2017,2015,1154,38.5 ,3.16 
DLSH010052822019,NA,13/08/2019,2019,231,7.7 ,0.63 
DLSH010070162018,NA,18/10/2018,2019,530,17.7 ,1.45 
DLSH010018972019,NA,22/03/2019,2019,375,12.5 ,1.03 
DLSH010047472019,NA,24/07/2019,2016,251,8.4 ,0.69 
DLSH010013312016,NA,23/02/2016,2019,1498,49.9 ,4.10 
DLSH010082662018,NA,11/12/2018,2018,476,15.9 ,1.30 
DLSH010032882018,NA,15/05/2018,2018,686,22.9 ,1.88 
DLSH010064932016,NA,23/09/2016,2018,1285,42.8 ,3.52 
DLSH010019982019,NA,27/03/2019,2018,370,12.3 ,1.01 
DLSH010001462020,NA,09/01/2020,2019,82,2.7 ,0.22 
DLSH010027782019,NA,24/04/2019,2018,342,11.4 ,0.94 
DLSH010018042017,NA,18/03/2017,2018,1109,37.0 ,3.04 
DLSH010006262015,NA,19/10/2015,2019,1625,54.2 ,4.45 
DLSH010046842018,NA,16/07/2018,2019,624,20.8 ,1.71 
DLSH010079792019,NA,09/12/2019,2019,113,3.8 ,0.31 
DLSH010045562019,NA,18/07/2019,2018,257,8.6 ,0.70 
DLSH010080812016,NA,14/12/2016,2018,1203,40.1 ,3.30 
DLSH010068552019,24/10/2019,16/10/2019,2019,8,0.3 ,0.02 
DLSH010053252019,29/02/2020,14/08/2019,2018,199,6.6 ,0.55 
DLSH010007592016,NA,30/01/2016,2018,1522,50.7 ,4.17 
DLSH010056482018,NA,25/08/2018,2018,584,19.5 ,1.60 
DLSH010013622018,NA,28/02/2018,2019,762,25.4 ,2.09 
DLSH010019162015,NA,18/05/2015,2019,1779,59.3 ,4.87 
DLSH010011042014,NA,17/12/2014,2019,1931,64.4 ,5.29 
DLSH010008922018,NA,07/02/2018,2019,783,26.1 ,2.15 
DLSH010000872018,NA,04/01/2018,2015,817,27.2 ,2.24 
DLSH010058592019,NA,04/09/2019,2015,209,7.0 ,0.57 
DLSH010080202017,NA,19/12/2017,2019,833,27.8 ,2.28 
DLSH010010252018,NA,15/02/2018,2019,775,25.8 ,2.12 
DLSH010067082018,NA,04/10/2018,2019,544,18.1 ,1.49 
DLSH010044002016,NA,27/06/2016,2019,1373,45.8 ,3.76 
DLSH010064482018,NA,26/09/2018,2019,552,18.4 ,1.51 
DLSH010052642019,NA,09/08/2019,2019,235,7.8 ,0.64 
DLSH010067162016,NA,04/10/2016,2015,1274,42.5 ,3.49 
DLSH010001372017,NA,07/01/2017,2019,1179,39.3 ,3.23 
DLSH010039182018,NA,07/06/2018,2019,663,22.1 ,1.82 
DLSH010080182018,14/05/2019,01/12/2018,2019,164,5.5 ,0.45 
DLSH010051762019,27/11/2019,07/08/2019,2019,112,3.7 ,0.31 
DLSH010044552017,NA,13/07/2017,2019,992,33.1 ,2.72 
DLSH010022002019,NA,02/04/2019,2019,364,12.1 ,1.00 
DLSH010076302019,NA,25/11/2019,2019,127,4.2 ,0.35 
DLSH010016452019,NA,12/03/2019,2019,385,12.8 ,1.05 
DLSH010011712020,NA,06/02/2020,2019,54,1.8 ,0.15 
DLSH010053312018,13/03/2019,10/08/2018,2014,215,7.2 ,0.59 
DLSH010061822018,NA,15/09/2018,2014,563,18.8 ,1.54 
DLSH010017662020,NA,24/02/2020,2016,36,1.2 ,0.10 
DLSH010015182018,31/01/2020,08/03/2018,2015,694,23.1 ,1.90 
DLSH010031102016,NA,04/05/2016,2017,1427,47.6 ,3.91 
DLSH010068642018,08/02/2019,10/10/2018,2019,121,4.0 ,0.33 
DLSH010068552016,NA,08/10/2016,2019,1270,42.3 ,3.48 
DLSH010000772014,22/10/2019,03/09/2014,2019,1875,62.5 ,5.14 
DLSH010025132019,NA,12/04/2019,2018,354,11.8 ,0.97 
DLSH010036182017,NA,01/06/2017,2019,1034,34.5 ,2.83 
DLSH010006102020,NA,22/01/2020,2019,69,2.3 ,0.19 
DLSH010054432019,NA,20/08/2019,2019,224,7.5 ,0.61 
DLSH010075342017,NA,27/11/2017,2017,855,28.5 ,2.34 
DLSH010014552017,NA,01/03/2017,2019,1126,37.5 ,3.08 
DLSH010004122018,NA,22/01/2018,2019,799,26.6 ,2.19 
DLSH010021132015,28/11/2019,16/09/2015,2019,1534,51.1 ,4.20 
DLSH010036172017,NA,02/06/2017,2019,1033,34.4 ,2.83 
DLSH010079552017,NA,16/12/2017,2019,836,27.9 ,2.29 
DLSH010082012017,NA,23/12/2017,2019,829,27.6 ,2.27 
DLSH010060182016,25/02/2020,01/09/2016,2019,1272,42.4 ,3.48 
DLSH010079722017,24/12/2019,18/12/2017,2019,736,24.5 ,2.02 
DLSH010080192018,NA,01/12/2018,2019,486,16.2 ,1.33 
DLSH010050872017,NA,09/08/2017,2018,965,32.2 ,2.64 
DLSH010074462018,NA,03/11/2018,2018,514,17.1 ,1.41 
DLSH010054792016,NA,08/08/2016,2018,1331,44.4 ,3.65 
DLSH010019252020,NA,27/02/2020,2018,33,1.1 ,0.09 
DLSH010048862019,NA,29/07/2019,2018,246,8.2 ,0.67 
DLSH010011252019,NA,18/02/2019,2018,407,13.6 ,1.12 
