state_name,district_name,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,age_interval,total_cases
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2018,six months to one year,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2018,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2019,one to two years,14
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2019,six months to one year,22
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2019,three to six months,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2018,2018,2020,one to two years,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2019,2019,2019,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2019,2019,2019,six months to one year,5
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2019,2019,2019,three to six months,4
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2019,2019,2020,six months to one year,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2019,2019,2020,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2016,2016,2019,three to four years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2017,2017,2019,one to two years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2017,2017,2019,two to three years,6
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2017,2018,2019,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2018,2018,2019,one to two years,2
