state_name,district_name,est_code,court_name,reg_year,fil_year,decision_year,act_name_std,section_name_std,total_cases
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2019,2019,2019,IPC,450,4
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2019,2019,2020,IPC,34 A,3
Assam,Cachar,ASCC01,District And Sessions Judge Court,2018,2018,2020,IPC,376,1
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2016,2016,2016,IPC,366 A,1
Haryana,Kurukshetra,HRKU01,"District  and Sessions Courts, Kurukshetra",2020,2020,NA,IPC,377,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2019,2019,NA,POCSO,8,34
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2015,2015,NA,IPC,506,2
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,2019,IPC,366,2
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2019,2019,NA,IPC,450,1
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2020,2020,NA,IPC,366 A,2
Assam,Tinsukia,ASTN06,SDJM,2013,0   ,2014,POCSO,4,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2017,2017,NA,IPC,366 A,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2015,2015,2015,IPC,323,1
Assam,Darrang,ASDR01,District and Sessions Judge,2018,2018,NA,IPC,34 A,1
Assam,Goalpara,ASGA01,District and Sessions Judge,2019,2019,NA,POCSO,6,7
Assam,Lakhimpur,ASLK01,District and Sessions Judge,2016,2016,2018,IPC,341,2
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2019,2019,2019,POCSO,8,21
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2017,2017,2018,IPC,354,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2020,2020,2020,IPC,366,2
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,2018,IPC,354D,3
Assam,Nalbari,ASNL01,District and Sessions Judge,2016,2016,2016,IPC,376(2)(i),2
Haryana,Fatehabad,HRFT01,"District  and Sessions Courts, Fatehabad",2018,2018,NA,IPC,34 A,6
Assam,Nalbari,ASNL01,District and Sessions Judge,2019,2019,2020,IPC,363,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2018,2018,NA,IPC,323,11
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2019,2019,2019,IPC,341,12
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2018,2018,2020,IPC,120 B,4
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2018,2018,2019,IPC,354D,9
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2016,2016,2016,IPC,451,1
Haryana,Sonepat,HRSOC1,"Criminal Courts, Kharkhoda",2019,2019,2019,IPC,354 A,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2015,2015,2019,POCSO,6,1
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2019,2019,2019,IPC,342,7
Assam,Tinsukia,ASTN01,District and Sessions Judge,2019,2019,NA,IPC,34 A,4
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2016,2016,2017,IPC,354D,1
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,2020,IPC,323,3
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2016,2016,2018,IPC,506,1
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2014,2014,2015,IPC,376,9
Assam,Sivasagar,ASSV01,District and Sessions Judge Establishment,2019,2019,NA,IPC,376(2)(i),1
Haryana,Fatehabad,HRFT01,"District  and Sessions Courts, Fatehabad",2020,2020,2020,POCSO,6,10
Haryana,Palwal,HRPL01,"District and Sessions Courts, Palwal",2018,2018,2020,POCSO,6,1
Haryana,Kaithal,HRKH03,"Criminal Courts, Kaithal",2018,2018,2019,IPC,365,1
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2019,2019,2019,IPC,366 A,1
Assam,Bongaigaon,ASBN06,Additional District and Sessions Judge,2019,2019,NA,IPC,341,2
Assam,Chirang,ASCH01,District And Session Judge Establishment,2017,2017,2018,IPC,376,5
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2014,2017,IPC,376,2
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2019,2019,NA,IPC,366 A,15
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2019,2019,NA,POCSO,12,54
Haryana,Yamunanagar,HRYN01,"District and Sessions Courts, Yamunanagar",2015,2015,2017,POCSO,12,4
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2016,2016,2018,IPC,511,1
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2017,2017,NA,IPC,342,13
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2017,2017,2019,POCSO,10,1
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2019,2019,2020,IPC,365,1
Assam,Kamrup,ASKR06,Additional District and Sessions Judge Rangia,2018,2018,2018,POCSO,4,2
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2019,2019,2020,IPC,376,1
Assam,Chirang,ASCH04,Additional District and Sessions Judge,2019,2019,NA,IPC,376,1
Assam,Kamrup,ASKR01,District and Sessions Judge,2016,2016,2017,POCSO,4,2
Assam,Dhubri,ASDU10,Additional District and Sessions Judge,2017,2017,2019,IPC,323,1
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2019,2019,NA,IPC,354 A,19
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2019,2019,NA,IPC,511,1
Haryana,Yamunanagar,HRYNA1,"Criminal Courts, Bilaspur",2015,2015,2015,IPC,354,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2016,2018,POCSO,12,7
Haryana,Palwal,HRPL03,"Criminal Courts, Palwal",2018,2018,2019,IPC,506,5
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2017,2017,2017,POCSO,12,15
Haryana,Rewari,HRRE03,"Criminal Courts, Rewari",2020,2020,2020,IPC,341,1
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2016,2015,2020,POCSO,8,1
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2017,2017,2017,IPC,342,2
Assam,Lakhimpur,ASLK01,District and Sessions Judge,2016,2016,2016,IPC,376(2)(i),1
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2016,2016,2019,POCSO,4,3
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2016,2016,2016,IPC,354,2
Assam,Nagaon,ASNG01,District and Sessions Judge,2014,2014,2015,IPC,328,1
Assam,Dhemaji,AS2201,District and Sessions Judge,2018,2018,2018,IPC,341,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,NA,IPC,354B,3
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2019,2019,2019,IPC,376,2
Haryana,Faridabad,HRFB03,"Criminal Courts, Faridabad",2018,2018,2019,POCSO,4,5
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2019,2019,NA,IPC,365,3
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2018,2017,2018,POCSO,8,1
Haryana,Sonepat,HRSOC1,"Criminal Courts, Kharkhoda",2020,2020,2020,POCSO,6,1
Assam,Hailakandi,ASHI03,Chief Judicial Magistrate,2017,2017,2017,POCSO,8,1
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2018,2018,NA,IPC,363,1
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2018,2018,NA,POCSO,4,15
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2017,2017,2017,IPC,365,3
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2017,2017,2017,IPC,452,6
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2016,2014,NA,POCSO,10,2
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2015,2015,NA,POCSO,6,2
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2016,2016,2016,POCSO,18,1
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2019,2019,NA,IPC,342,6
Assam,Sivasagar,ASSV01,District and Sessions Judge Establishment,2018,2018,2020,IPC,363,1
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2018,2018,NA,IPC,354 A,1
Haryana,Panchkula,HRPK03,"Criminal Courts, Panchkula",2018,2018,NA,IPC,363,1
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2016,2016,NA,IPC,365,1
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2016,2018,IPC,120 B,1
Assam,Nagaon,ASNG01,District and Sessions Judge,2019,2019,NA,IPC,420,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2017,2017,NA,IPC,342,13
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2014,2014,2014,POCSO,4,6
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2018,2018,NA,IPC,323,20
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2018,2018,NA,POCSO,17,1
Haryana,Rohtak,HRRH03,Criminal Courts Rohtak,2019,2019,NA,IPC,506,4
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2019,2019,NA,POCSO,4,9
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2017,2017,2017,IPC,34 A,8
Assam,Kamrup,ASKR06,Additional District and Sessions Judge Rangia,2018,2018,2018,POCSO,8,2
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2019,2019,2019,IPC,354D,3
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2016,2013,2019,POCSO,4,4
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2018,2018,2019,IPC,376,4
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2017,2017,NA,IPC,343,1
Assam,Cachar,ASCC01,District And Sessions Judge Court,2018,2018,NA,IPC,34 A,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2014,2014,2014,POCSO,10,13
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2017,2017,2018,IPC,354,14
Assam,Kokrajhar,ASKK01,District and Sessions Judge,2016,2016,2018,IPC,366 A,2
Assam,Barpeta,ASBR01,District and Sessions Judge,2018,2018,2018,IPC,448,2
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2015,2015,2015,POCSO,18,1
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2016,2016,2016,IPC,363,2
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2018,2018,2018,IPC,376D,22
Assam,Nalbari,ASNL01,District and Sessions Judge,2019,2019,NA,IPC,34 A,6
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2017,2017,2018,IPC,120 B,1
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2017,2017,2020,IPC,323,1
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2016,2016,NA,IPC,363,1
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2016,2016,2017,POCSO,8,4
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2016,NA,IPC,341,2
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2016,NA,IPC,120 B,3
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2015,NA,POCSO,---,2
Assam,Kamrup,ASKR01,District and Sessions Judge,2020,2020,NA,IPC,506,2
Haryana,Panchkula,HRPK03,"Criminal Courts, Panchkula",2016,2016,2016,POCSO,8,1
