state_name,district_name,fil_year,reg_year_date,total_cases,pending_cases,disposed_cases
Haryana,Jind,2016,2016,24,1,23
Assam,Goalpara,2016,2016,1,1,0
Delhi,South East,2016,2016,72,62,10
Haryana,Hisar,2020,2020,23,22,1
Delhi,North,2017,2017,268,194,74
Assam,Dhemaji,2017,2017,35,12,23
Delhi,North West,2018,2018,299,234,65
Haryana,Sonepat,2014,2014,20,0,20
Delhi,North West,2016,2017,1,1,0
Haryana,Rohtak,2015,2015,35,0,35
Haryana,Sirsa,2015,2016,1,0,1
Delhi,South,2013,2013,3,3,0
Assam,Nagaon,2018,2018,125,87,38
Assam,Sonitpur,0   ,2014,2,1,1
Haryana,Hisar,2016,2016,36,0,36
Assam,Kokrajhar,2019,2019,56,41,15
Assam,Chirang,2016,2016,8,1,7
Haryana,Panchkula,2018,2018,31,19,12
Assam,Bongaigaon,2019,2019,30,25,5
Assam,Goalpara,0   ,2014,1,1,0
Haryana,Ambala,2019,2019,75,52,23
Assam,Kamrup Metro,2020,2020,15,15,0
Haryana,Yamunanagar,2019,2019,3,3,0
Delhi,North East,2017,2017,43,37,6
Haryana,Rohtak,2017,2017,57,1,56
Assam,Kamrup,2017,2018,7,6,1
Assam,Sivasagar,2016,2017,1,1,0
Delhi,North West,2017,2017,231,159,72
Haryana,Kaithal,2018,2018,58,3,55
Assam,Karbi Anglong,2016,2019,1,1,0
Delhi,New Delhi,2019,2013,1,0,1
Haryana,Gurugram,2016,2016,52,3,49
Delhi,North East,2018,2018,117,88,29
Delhi,West,2013,2014,2,1,1
Assam,Barpeta,2019,2019,198,128,70
Assam,Jorhat,2018,2018,59,17,42
Assam,Kamrup,2015,2015,10,4,6
Assam,Bongaigaon,2015,2016,2,1,1
Assam,Barpeta,2014,2014,3,0,3
Assam,Golaghat,2016,2016,79,27,52
Haryana,Gurugram,2020,2020,15,15,0
Haryana,Yamunanagar,2018,2018,3,1,2
Assam,Kamrup Metro,2015,2015,11,0,11
Delhi,South East,2017,2017,135,118,17
Haryana,Jhajjar,2017,2017,42,1,41
Delhi,North East,2015,2015,22,21,1
