act_id,act_name,section_name,act_issue_flag
1500,I.P.C.,354 A,0
1501,I.P.C.,354 D,0
1502,POCSO Act,354 A,0
1503,POCSO Act,354 D,0
1505,I.P.C.,506,0
1511,POCSO Act,12,0
1514,POCSO Act,Pocso Act,1
1517,I.P.C.,363,0
1521,POCSO Act,4,0
1525,I.P.C.,498 A,0
1527,SC/ST Act ,3(2),1
1529,POCSO Act,6,0
1530,POCSO Act,12,0
1531,I.P.C.,354 A(1)(i),0
1532,I.P.C.,354 D(1)(ii),0
1533,POCSO Act,8,0
1534,POCSO Act,4,0
1535,POCSO Act,18,0
1536,I.P.C.,376 DA,0
1537,POCSO Act,6,0
1538,POCSO Act,17,0
1539,POCSO Act,21,0
1540,POCSO Act,10,0
1541,POCSO Act,15,0
1544,I.P.C.,354 A(1)(ii),0
1546,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
1547,POCSO Act,10,0
1549,POCSO Act,8,0
1550,POCSO Act,6,0
1551,POCSO Act,377,0
1552,I.P.C.,376(2),0
1553,POCSO Act,4,0
1554,POCSO Act,12,0
1556,POCSO Act,4,0
1557,I.P.C.,452,0
1559,POCSO Act,7,0
1561,POCSO Act,8,0
1562,POCSO Act,506,0
1564,I.P.C.,366 A,0
1566,POCSO Act,10,0
1568,POCSO Act,18,0
1569,I.P.C.,377,0
1573,POCSO Act,12,0
1574,I.P.C.,328,0
1576,I.P.C.,376(2)(f)/376(3),0
1577,ITPA,4,0
1578,ITPA,5,0
1581,I.P.C.,354,0
1582,I.P.C.,376(2)(f),0
1584,POCSO Act,6,0
1585,SC/ST Act ,3,1
1586,POCSO Act,8,0
1587,I.P.C.,506,0
1594,POCSO Act,4,0
1595,POCSO Act,4,0
1596,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
1597,"SC/ST Amendment Act, 2015",3(2)(va),0
1598,POCSO Act,---,1
1599,POCSO Act,10,0
1600,POCSO Act,8,0
1602,I.P.C.,2,1
1603,I.P.C.,n,1
1604,POCSO Act,4/6,0
1608,I.P.C.,376,0
1609,SC/ST Act ,3,1
